Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
491;A019276;BU16800109;80;;None
492;D001045;BU16800109;30;;None
493;M000368;BU16800109;1,2;;None
494;A018943_4;BU16800109;7;;None
495;A018944;BU16800109;15;;None
496;T001455_2;BU16800109;1618;;None
497;A047044;BU16800109;1614;;None
498;A047040;BU16800109;4;;None
499;PC000C;BU16800109;;      9463;None
500;M000217;BU16800109;1;;None
501;ST0001;BU16800109;5;;None
502;ST0003;BU16800109;36;;None
503;GM000C;WK168002;;Aa en Hunze                             ;None
504;R00003;WK168002;;Wijk      ;None
505;R00004;WK168002;;WK168002  ;None
506;M000125;WK168002;;1;None
507;T001036;WK168002;390;;None
508;3000;WK168002;195;;None
509;4000;WK168002;190;;None
510;10680;WK168002;50;;None
511;53050;WK168002;45;;None
512;53310;WK168002;55;;None
513;53715;WK168002;140;;None
514;80200;WK168002;100;;None
515;1010;WK168002;150;;None
516;1020;WK168002;185;;None
517;1080;WK168002;35;;None
518;1050;WK168002;15;;None
519;2012655;WK168002;15;;None
520;2012657_2;WK168002;15;;None
521;H008673;WK168002;10;;None
522;H007119;WK168002;5;;None
523;H008751;WK168002;0;;None
524;H008766;WK168002;5;;None
525;A008187;WK168002;5;;None
526;1050010_2;WK168002;165;;None
527;1050015;WK168002;35;;None
528;1016040;WK168002;70;;None
529;1016030;WK168002;60;;None
530;M000114;WK168002;2,3;;None
531;M000100;WK168002;47;;None
532;M000297;WK168002;169;;None
533;M001642;WK168002;372;;None
534;ZW10290;WK168002;98;;None
535;ZW10340;WK168002;2;;None
536;A028725;WK168002;96;;None
537;A028726;WK168002;4;;None
538;1014800_1;WK168002;80;;None
539;1014850_2;WK168002;20;;None
540;A047047;WK168002;13;;None
541;A047048;WK168002;7;;None
542;A047051;WK168002;0;;None
543;ZW25808;WK168002;86;;None
544;ZW25807;WK168002;14;;None
545;M000200_2;WK168002;70;;None
546;301000;WK168002;5;;None
547;300003;WK168002;5;;None
548;300005;WK168002;10;;None
549;383105;WK168002;5;;None
550;300009;WK168002;5;;None
551;300010;WK168002;10;;None
552;300012;WK168002;20;;None
553;300014;WK168002;5;;None
554;A018943_2;WK168002;240;;None
555;A019276;WK168002;160;;None
556;D001045;WK168002;80;;None
557;M000368;WK168002;1,4;;None
558;A018943_4;WK168002;29;;None
559;A018944;WK168002;30;;None
560;T001455_2;WK168002;816;;None
561;A047044;WK168002;815;;None
562;A047040;WK168002;1;;None
563;ST0001;WK168002;5;;None
564;ST0003;WK168002;110;;None
565;GM000C;BU16800200;;Aa en Hunze                             ;None
566;R00003;BU16800200;;Buurt     ;None
567;R00004;BU16800200;;BU16800200;None
568;M000125;BU16800200;;1;None
569;T001036;BU16800200;325;;None
570;3000;BU16800200;160;;None
571;4000;BU16800200;160;;None
572;10680;BU16800200;40;;None
573;53050;BU16800200;30;;None
574;53310;BU16800200;50;;None
575;53715;BU16800200;115;;None
576;80200;BU16800200;85;;None
577;1010;BU16800200;120;;None
578;1020;BU16800200;155;;None
579;1080;BU16800200;30;;None
580;1050;BU16800200;15;;None
581;2012655;BU16800200;15;;None
582;2012657_2;BU16800200;15;;None
583;H008673;BU16800200;10;;None
584;H007119;BU16800200;0;;None
585;H008751;BU16800200;0;;None
586;H008766;BU16800200;0;;None
587;A008187;BU16800200;5;;None
588;1050010_2;BU16800200;140;;None
589;1050015;BU16800200;35;;None
590;1016040;BU16800200;60;;None
591;1016030;BU16800200;50;;None
592;M000114;BU16800200;2,3;;None
593;M000100;BU16800200;564;;None
594;M000297;BU16800200;145;;None
595;M001642;BU16800200;358;;None
596;ZW10290;BU16800200;97;;None
597;ZW10340;BU16800200;3;;None
598;A028725;BU16800200;97;;None
599;A028726;BU16800200;3;;None
600;1014800_1;BU16800200;80;;None
601;1014850_2;BU16800200;20;;None
602;A047047;BU16800200;14;;None
603;A047048;BU16800200;6;;None
604;A047051;BU16800200;0;;None
605;ZW25808;BU16800200;94;;None
606;ZW25807;BU16800200;6;;None
607;M000200_2;BU16800200;60;;None
608;301000;BU16800200;5;;None
609;300003;BU16800200;5;;None
610;300005;BU16800200;10;;None
611;383105;BU16800200;0;;None
612;300009;BU16800200;5;;None
613;300010;BU16800200;10;;None
614;300012;BU16800200;15;;None
615;300014;BU16800200;5;;None
616;A018943_2;BU16800200;195;;None
617;A019276;BU16800200;135;;None
618;D001045;BU16800200;60;;None
619;M000368;BU16800200;1,4;;None
620;A018943_4;BU16800200;344;;None
621;A018944;BU16800200;20;;None
622;T001455_2;BU16800200;57;;None
623;A047044;BU16800200;57;;None
624;A047040;BU16800200;0;;None
