name,latitude,longitude,postal_code,city,country
,50.8293883,5.7032052,6229 AG,Maastricht,Nederland
,50.8024296,5.5723534,3770,Riemst,België / Belgique / Belgien
,50.8720936,5.5581412,3746,Bilzen,België / Belgique / Belgien
,50.8722091,5.5584352,3746,Bilzen,België / Belgique / Belgien
,50.8162063,5.7254600,6228 NB,Maastricht,Nederland
,50.8295646,5.6628240,6213 JD,Maastricht,Nederland
,50.8269732,5.6387868,3770,Riemst,België / Belgique / Belgien
,50.8263297,5.6396395,3770,Riemst,België / Belgique / Belgien
,50.7702789,5.7203615,6245 SJ,Eijsden,Nederland
,50.9269782,5.6879462,3621,Lanaken,België / Belgique / Belgien
,50.8282110,5.7287462,6228 XZ,Maastricht,Nederland
,50.9231231,5.6925643,3621,Lanaken,België / Belgique / Belgien
,50.9233402,5.6929595,3621,Lanaken,België / Belgique / Belgien
,50.9231357,5.6928833,3621,Lanaken,België / Belgique / Belgien
,50.8836345,5.6721110,3620,Lanaken,België / Belgique / Belgien
,50.8832324,5.6721932,3620,Lanaken,België / Belgique / Belgien
,50.8685230,5.6281532,3620,Lanaken,België / Belgique / Belgien
,50.8445840,5.5787238,3740,Bilzen,België / Belgique / Belgien
,50.8585281,5.5493353,3740,Bilzen,België / Belgique / Belgien
,50.8894767,5.6488388,3620,Lanaken,België / Belgique / Belgien
,50.8887500,5.6479665,3620,Lanaken,België / Belgique / Belgien
,50.8846370,5.6074045,3620,Lanaken,België / Belgique / Belgien
,50.8860219,5.6074010,3620,Lanaken,België / Belgique / Belgien
,50.8882416,5.6477670,3620,Lanaken,België / Belgique / Belgien
,50.8879390,5.6465469,3620,Lanaken,België / Belgique / Belgien
,50.8113461,5.6712770,3770,Riemst,België / Belgique / Belgien
,50.8116439,5.6701936,3770,Riemst,België / Belgique / Belgien
,50.8101191,5.6700715,3770,Riemst,België / Belgique / Belgien
,50.8312191,5.6408109,3770,Riemst,België / Belgique / Belgien
,50.8135160,5.6731588,3770,Riemst,België / Belgique / Belgien
,50.8136546,5.6740264,3770,Riemst,België / Belgique / Belgien
