charger_longitude;charger_latitude;Rating;atm;bakery;bar;bicycle_parking;books;cafe;clothes;doctors;fast_food;hairdresser;parking;pharmacy;playground;pub;restaurant;school;sports_centre;supermarket
4.2118651;51.9696068;5;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
4.2145282;52.0623851999999;3.6;0;1;0;0;0;2;1;0;2;2;0;0;4;2;5;0;0;2
4.2226233;51.973124;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4.2228473;52.067934;3;0;1;0;1;0;1;1;0;2;2;0;0;1;2;5;0;0;3
4.224901;52.060806;1;1;3;0;3;1;4;4;0;2;6;0;1;5;2;5;0;1;4
4.2259527;52.0652866999999;4;1;2;0;2;1;3;4;0;2;6;0;1;2;2;6;0;0;5
4.2389005;52.0387534;3;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;3;0
4.2447868;51.9562222;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4.265091;52.102791;4;1;3;2;3;2;5;6;2;11;7;3;2;1;2;39;0;0;3
4.267299;51.477953;1;1;0;0;0;0;0;0;0;1;0;0;1;7;0;0;1;0;0
4.2686491;52.1014317;5;1;4;2;3;3;7;6;2;12;8;6;2;1;2;46;1;0;5
4.273516;51.526812;1;1;2;0;1;0;0;3;0;2;2;0;1;0;0;2;0;0;3
4.2792667;51.5224108;4;1;2;0;1;0;0;3;0;2;2;0;0;0;1;1;0;0;3
4.27932699999999;51.5293173;4;1;2;0;1;0;0;3;0;2;2;0;1;0;1;2;0;0;3
4.2796552;51.5161378;5;0;1;0;0;0;0;1;0;1;0;7;0;0;1;1;2;0;2
4.2835029;51.903975;3.5;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
4.28389;51.5082;1;1;0;0;0;0;0;0;1;2;0;7;1;0;1;0;5;0;2
4.28655799999999;51.5004236;5;2;6;0;3;2;5;24;1;14;1;9;2;0;31;41;4;1;3
4.290132;51.496737;4;3;6;0;3;2;5;24;0;14;1;5;2;0;34;41;4;1;4
4.2939767;52.0425686;3.3;0;0;0;1;0;1;1;1;4;0;0;2;7;1;3;2;4;1
4.2949488;51.4826073;4;1;1;1;0;0;0;0;0;4;1;0;1;0;6;6;1;0;6
4.2951956;51.4950755;1;3;7;0;3;2;5;24;0;15;2;5;3;0;31;40;4;1;4
4.3038639;52.0780377;5;14;11;28;11;11;95;204;8;97;82;11;5;6;59;235;2;4;18
4.3043014;52.0758304;3;13;11;31;10;9;86;193;10;92;79;11;8;10;56;197;3;6;20
4.3060009;52.0747405;2;14;15;37;10;9;95;202;12;106;96;11;9;13;58;203;3;5;21
4.31785899999999;52.03606;4;7;5;1;2;1;2;18;2;17;9;10;5;14;0;10;5;0;8
4.32143349999999;51.9991499;5;2;1;0;12;0;2;0;2;1;3;3;1;17;0;2;3;4;1
4.32362359999999;52.0021461;5;2;1;0;13;0;2;0;3;1;4;3;1;22;0;2;5;3;1
4.3270066;51.900661;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
4.327425;52.060319;4;6;8;2;6;2;11;8;1;33;35;5;5;13;19;34;2;0;9
4.3292854;52.1071436;5;0;0;0;4;0;2;0;0;2;1;0;0;1;0;2;0;0;1
4.3320378;51.9914423;5;0;1;0;12;0;3;0;6;1;1;4;2;18;0;6;1;5;2
4.33614949999999;52.036832;4.5;0;0;1;3;0;1;0;0;3;0;10;0;3;0;3;2;1;1
4.3391988;51.9997275;1;3;2;0;19;2;5;5;8;10;7;7;4;37;0;7;6;4;5
4.3491515;52.0482575;4.4;0;0;0;6;0;0;0;0;1;1;2;0;5;0;3;0;1;0
4.3492024;51.9792072;1;2;1;0;7;0;0;0;5;6;3;7;1;10;1;2;4;0;3
4.3497427;52.0482477;4;0;0;0;6;0;0;0;0;1;1;2;0;5;0;3;0;1;0
4.3500438;51.987261;5;3;1;0;11;0;1;0;7;6;4;11;1;28;2;5;4;1;5
4.3546045;51.9874342;2;3;1;0;10;0;0;0;7;8;5;10;1;22;3;5;4;0;6
4.35516209999999;51.9924499;2;8;4;0;16;2;3;11;7;23;12;8;3;20;3;16;4;3;11
4.3622292;52.0593999;5;1;1;0;5;2;0;14;3;4;10;21;1;1;3;18;1;3;2
4.362749;52.027067;4;0;1;0;12;0;3;0;0;3;2;1;0;15;0;5;0;2;0
4.3638631;52.0401742;5;1;1;0;10;0;1;2;1;3;3;0;1;5;0;6;1;1;3
4.3642518;52.0961378;4;1;0;0;33;0;2;0;0;2;1;98;2;15;0;0;4;1;1
4.3661157;51.9812038;5;1;0;0;0;0;2;0;4;2;1;0;1;4;1;2;2;4;1
4.3685638;51.9439036;5;0;0;0;5;0;0;0;0;3;1;3;1;4;0;1;2;0;2
4.3858104;52.0782056;5;1;3;1;33;0;5;4;11;11;12;111;2;10;2;17;1;1;2
4.392793;51.9833879;4.5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0
4.3936886;51.982502;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0
4.3988319;51.9169579;3;6;3;7;4;5;14;26;2;26;17;9;2;16;23;34;5;1;12
4.4026881;51.9156410999999;5;6;3;7;4;5;14;26;2;28;17;9;3;17;22;33;4;1;11
4.41064489999999;51.9439492;4.9;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
4.42355;51.94464;5;1;1;0;3;2;1;1;1;5;2;1;0;1;2;2;2;0;1
4.437809;52.019775;5;2;5;0;5;2;4;11;2;4;9;3;3;1;3;7;4;1;6
4.4428961;51.9518865999999;5;0;0;0;2;1;0;0;1;0;0;0;0;4;0;2;2;0;0
4.4507646;52.0105338;5;1;1;0;3;0;0;0;3;1;1;1;1;10;0;2;5;0;1
4.45280109999999;51.9780382;4;0;0;0;2;0;0;0;0;1;0;0;0;3;0;1;2;0;2
